PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO,pagina
REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
"REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS
ESPECÍFICAS)",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
REEDUCAÇÃO E/OU REABILITAÇÃO DE DISTÚRBIOS CRÂNIO-FACIAIS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
REEDUCAÇÃO E/OU REABILITAÇÃO NOS PROCESSOS INFLAMATÓRIOS PÉLVICOS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
ACTINOTERAPIA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
APLICAÇÃO DE CARIOSTÁTICO (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,,,,,,79,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
APLICAÇÃO DE HIPOSSENSIBILIZANTE,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
APLICAÇÃO DE SELANTE (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,,,,,,80,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
APLICAÇÃO TÓPICA DE FLÚOR,,,Seg. Odontológica,,,,,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
APLICAÇÃO TÓPICA DE VERNIZ FLUORETADO,,,Seg. Odontológica,,,,,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",6
BETATERAPIA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
CARDIOVERSÃO QUÍMICA DE ARRITMIA PAROXÍSTA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
CATETERISMO VESICAL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
CERUMEN - REMOÇÃO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
CRIOTERAPIA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
CURATIVOS EM GERAL COM OU SEM ANESTESIA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
DILATAÇÃO URETRAL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
DESSENSIBILIZAÇÃO DENTÁRIA,,,Seg. Odontológica,,,,,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
ESTIMULAÇÃO ELÉTRICA TRANSCUTÂNEA (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,24,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
FOTOTERAPIA COM UVA (PUVA) PARA TRATAMENTO DE PSORÍASE OU VITILIGO,,,,Seg. Ambulatorial,,,Plano Referência,Procedimento de Alta Complexidade,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
INSTILAÇÃO VESICAL OU URETRAL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
LESÕES MÚSCULO TENDINOSAS - TRATAMENTO INCRUENTO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO INESPECÍFICA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO-ESPECÍFICA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
PRIAPISMO - TRATAMENTO NÃO CIRÚRGICO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
PULSOTERAPIA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
OXIGENOTERAPIA HIPERBÁRICA (COM DIRETRIZ DE UTILIZAÇÃO),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,58,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
REDUÇÃO DE LUXAÇÃO DA ATM (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,96,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
REMINERALIZAÇÃO DENTÁRIA,,,Seg. Odontológica,,,,,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",7
SESSÃO DE ACUPUNTURA,,,,Seg. Ambulatorial,,,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
"TERAPIA AVANÇADA PARA O TRATAMENTO DA ATROFIA MUSCULAR ESPINHAL (COM DIRETRIZ DE
UTILIZAÇÃO)",571/2023,10/02/2023,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,159,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
"TERAPIA PARA DOENÇA DE FABRY CLÁSSICA (COM DIRETRIZ
DE UTILIZAÇÃO)","581/2023
599/2024","12/07/2023
05/03/2024",,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,161,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
"TERAPIA COM ALFACERLIPONASE PARA LIPOFUSCINOSE CEROIDE NEURONAL TIPO 2 (CLN2) (COM DIRETRIZ
DE UTILIZAÇÃO)",538/2022,22/10/2022,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,153,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
"TERAPIA IMUNOBIOLÓGICA ENDOVENOSA, INTRAMUSCULAR OU SUBCUTÂNEA (COM DIRETRIZ DE
UTILIZAÇÃO)",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,65,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
TERAPIA IMUNOPROFILÁTICA PARA O VÍRUS SINCICIAL RESPIRATÓRIO (VSR) (COM DIRETRIZ DE UTILIZAÇÃO),"465/2021
624/2024","01/04/2021
03/02/2025",,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,124,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
TERAPIA INALATÓRIA (NEBULIZAÇÃO),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
TERAPIA INTRAVENOSA COM ÁCIDO ZOLEDRÔNICO (COM DIRETRIZ DE UTILIZAÇÃO),592/2023,18/12/2023,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,163,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
TERAPIA MEDICAMENTOSA INJETÁVEL Seg. AmbulatorialULATORIAL (COM DIRETRIZ DE UTILIZAÇÃO),546/2022,03/10/2022,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,158,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
TERAPIA ONCOLÓGICA - PLANEJAMENTO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
TERAPIA ONCOLÓGICA COM APLICAÇÃO DE MEDICAMENTOS POR VIA INTRACAVITÁRIA OU INTRATECAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
TERAPIA ONCOLÓGICA COM APLICAÇÃO INTRA-ARTERIAL OU INTRAVENOSA DE MEDICAMENTOS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
TERAPIA ONCOLÓGICA MEDICAMENTOSA PEROPERATÓRIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
TERAPIA POR PRESSÃO NEGATIVA (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,148,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
APÊNDICE PRÉ-AURICULAR - RESSECÇÃO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,8
APLICAÇÃO DE CONTRACEPTIVO HORMONAL INJETÁVEL (COM DIRETRIZ DE UTILIZAÇÃO),538/2022,22/10/2022,,Seg. Ambulatorial,,,Plano Referência,,154,PROCEDIMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
IMPLANTE SUBDÉRMICO HORMONAL PARA CONTRACEPÇÃO (COM DIRETRIZ DE UTILIZAÇÃO),619/2024,02/01/2025,,Seg. Ambulatorial,,,Plano Referência,,170,PROCEDIMENTOS,"PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS Seg. AmbulatorialULATORIAIS
E HOSPITALARES",8
AUTONOMIZAÇÃO DE RETALHO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,8
BIÓPSIA DE FACE,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,8
"BIÓPSIA DE PELE, TUMORES SUPERFICIAIS, TECIDO CELULAR SUBCUTÂNEO, LINFONSeg. OdontológicaO SUPERFICIAL,
UNHA, ETC",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
CALOSIDADE E/OU MAL PERFURANTE - DESBASTAMENTO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
CANTOPLASTIA UNGUEAL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
CAUTERIZAÇÃO QUÍMICA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
CIRURGIA DA HIDROSADENITE,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
CORREÇÃO CIRÚRGICA DE SEQUELAS DE ALOPECIA TRAUMÁTICA COM MICROENXERTOS PILOSOS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
"CORREÇÃO DE DEFORMIDADES POR EXÉRESE DE TUMORES OU SEQÜELAS DE TRAUMATISMOS COM O
EMPREGO DE EXPANSORES EM RETALHOS CUTÂNEOS, MUSCULARES E/OU MIOCUTÂNEOS",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
CRIOCIRURGIA (NITROGÊNIO LÍQUIDO) DE NEOPLASIAS CUTÂNEAS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
CURATIVO DE QUEIMADURAS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
CURATIVO ESPECIAL SOB ANESTESIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
"CURETAGEM, ELETROCOAGULAÇÃO E/OU DERMOABRASÃO DE LESÕES DE PELE E MUCOSAS",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
ABDOMINOPLASTIA (COM DIRETRIZ DE UTILIZAÇÃO),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,18,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
DESBRIDAMENTO CIRÚRGICO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
DESBRIDAMENTO DE FERIMENTOS INFECTADOS E MORDIDAS DE ANIMAIS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
"ENXERTO DE CARTILAGEM, MUCOSA E/OU COMPOSTO",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
ENXERTO DE PELE MÚLTIPLO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
ENXERTO OU HOMOENXERTO DE PELE,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
ESCALPO - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
ESCAROTOMIA DESCOMPRESSIVA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,9
EXÉRESE DE HIGROMA CÍSTICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,10
